"id"	"pvm"	"puolue_lyh"	"ilmoittaneita"	"rahoitus_tot"	"kulut_tot"	"omat_varat"	"lainat"	"yksityinen_tuki"	"yritys_tuki"	"puolue_tuki"	"puolueyhdistys_tuki"	"valitettu_tuki"	"muu_tuki"	"ehdokkaita_tot"	"ilmoittaneita_pros"	"suht_rahoitus"
"1"	"12042011"	"KD"	6	101753	101753	24116	0	4375	2389	5153	44200	520	0	191	"0.03"	"16958.83"
"2"	"12042011"	"KESK"	51	794631	781372	312890	45000	186872	112890	39495	76045	5250	16390	233	"0.22"	15581
"3"	"12042011"	"KOK"	11	299708	304934	130786	50000	47011	41277	0	18990	0	5000	232	"0.05"	"27246.18"
"4"	"12042011"	"M11"	16	5381	5796	3090	0	1877	75	0	0	500	416	66	"0.24"	"336.31"
"5"	"12042011"	"PIR"	76	11522	12607	8731	0	861	300	150	0	0	0	127	"0.6"	"151.61"
"6"	"12042011"	"PS"	23	170111	161151	118605	0	12690	13419	2376	19821	0	3500	238	"0.1"	"7396.13"
"7"	"12042011"	"RKP"	4	10385	10640	2500	0	1930	795	4000	930	0	230	83	"0.05"	"2596.25"
"8"	"12042011"	"SDP"	27	353285	353484	91074	45000	66894	17700	800	59320	6600	99125	238	"0.11"	"13084.63"
"9"	"12042011"	"SKP"	1	0	0	0	0	0	0	0	0	0	0	143	"0.01"	0
"10"	"12042011"	"VAS"	118	958677	958437	308183	29250	133474	21538	17260	155161	69351	256329	236	"0.5"	"8124.38"
"11"	"12042011"	"VIHR"	224	1394566	1412240	898085	111280	311083	43113	470	92516	3596	19355	228	"0.98"	"6225.74"
"12"	"12042011"	"VP"	18	7730	10320	8329	300	1001	0	139	0	0	500	60	"0.3"	"429.44"
