"vaalipiiri"	"kunta"	"sukunimi"	"etunimi"	"ammatti"	"puolue_lyh"	"puolue"	"rahoitus_kaikki"	"kulut_kaikki"	"omat_varat"	"lainat"	"yksityinen_tuki"	"yritys_tuki"	"puolue_tuki"	"puolueyhdistys_tuki"	"muu_tuki"	"valitetty_tuki"
"Etelä-Savon vaalipiiri"	"Mikkeli"	"Letonsaari"	"Mika Daniel"	"diplomi-insinööri"	"PIR"	"Piraattipuolue r.p."	200	200	200	0	0	0	0	0	0	0
"Etelä-Savon vaalipiiri"	"Rantasalmi"	"Auvinen"	"Toni Petteri"	"yrittäjä, projektipäällikkö"	"KESK"	"Suomen Keskusta r.p."	7091	7091	3321	0	1470	1000	0	1300	0	0
"Etelä-Savon vaalipiiri"	"Joroinen"	"Komi"	"Katri Helena"	"kansanedustaja, MMM"	"KESK"	"Suomen Keskusta r.p."	26000	26000	24300	0	200	1000	0	0	500	0
"Etelä-Savon vaalipiiri"	"Mikkeli"	"Lokka"	"Martti Ilmari"	"isännöitsijä, yrittäjä"	"KESK"	"Suomen Keskusta r.p."	20000	20000	14000	0	3000	2000	0	1000	0	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Mykkänen"	"Risto Juha Antero"	"kehitysvammaisten ohjaaja"	"VAS"	"Vasemmistoliitto r.p."	800	900	100	0	0	0	300	0	500	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Savolainen"	"Sini Suvi Annikki"	"opiskelija"	"VAS"	"Vasemmistoliitto r.p."	1250	0	0	0	0	0	0	0	1250	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Vatanen"	"Venla Julia"	"kulttuurituottaja"	"VAS"	"Vasemmistoliitto r.p."	642	642	150	0	0	0	0	492	0	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Vehviläinen"	"Ville Tapani"	"sekatyömies"	"VAS"	"Vasemmistoliitto r.p."	1150	1150	0	0	0	0	0	150	1000	0
"Etelä-Savon vaalipiiri"	"Mikkeli"	"Berndt"	"Rauni Kyllikki"	"terveyskeskuslääkäri"	"VIHR"	"Vihreä liitto r.p."	1009	1009	496	0	150	0	0	363	0	0
"Etelä-Savon vaalipiiri"	"Savonlinna"	"Härkönen"	"Heikki Johannes"	"toiminnanjohtaja, pääluottamusmies"	"VIHR"	"Vihreä liitto r.p."	350	350	350	0	0	0	0	0	0	0
"Etelä-Savon vaalipiiri"	"Kerimäki"	"Järvinen"	"Heli Maria"	"kansanedustaja, toimittaja"	"VIHR"	"Vihreä liitto r.p."	16000	0	15000	0	190	0	0	500	0	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Kantele"	"Martta Emilia"	"ympäristöpolitiikan opiskelija"	"VIHR"	"Vihreä liitto r.p."	1286	1286	400	0	570	0	0	200	316	0
"Etelä-Savon vaalipiiri"	"Pieksämäki"	"Karjalainen"	"Jorma Antti Johannes"	"aikuiskouluttaja"	"VIHR"	"Vihreä liitto r.p."	1500	1600	100	0	0	0	0	0	1500	0
"Etelä-Savon vaalipiiri"	"Mikkeli"	"Liikanen"	"Veli Ilmari"	"nuorisotutkija"	"VIHR"	"Vihreä liitto r.p."	2300	2300	500	0	1600	0	0	200	0	0
"Etelä-Savon vaalipiiri"	"Kerimäki"	"Muhonen"	"Iikka Eemeli"	"luomuviljelijä, eläkkeellä"	"VIHR"	"Vihreä liitto r.p."	850	850	100	0	0	0	0	500	250	0
"Etelä-Savon vaalipiiri"	"Savonlinna"	"Nyrhinen"	"Sari Helena"	"yritysjohtaja, DI"	"VIHR"	"Vihreä liitto r.p."	3000	3000	370	2570	60	0	0	0	0	0
"Etelä-Savon vaalipiiri"	"Savonlinna"	"Peltonen"	"Pekka Olavi"	"työterveyslääkäri"	"VIHR"	"Vihreä liitto r.p."	750	750	750	0	0	0	0	0	0	0
"Etelä-Savon vaalipiiri"	"Mikkeli"	"Pietiläinen"	"Maija Anna-Lisa"	"miestyön kehittäjä, YTM"	"VIHR"	"Vihreä liitto r.p."	550	550	300	0	0	0	0	250	0	0
"Etelä-Savon vaalipiiri"	"Ristiina"	"Siitonen"	"Mikko Juhani"	"historian ja yhteiskuntaopin lehtori"	"VIHR"	"Vihreä liitto r.p."	1177	1177	396	0	781	0	0	0	0	0
