kunta,ammatti,muu_tuki,lainat,etunimi,omat_varat,kulut_kaikki,yritys_tuki,puolue_lyh,rahoitus_kaikki,valitetty_tuki,puolueyhdistys_tuki,puolue,vaalipiiri,sukunimi,yksityinen_tuki,puolue_tuki
Lemland,ekonomie magister,0,0,Tony Mikael,703,4709,0,,4709,0,0,AFÅ,Ahvenanmaan vaalipiiri,Asumaa,0,4006
Raisio,"yhdyskuntateknikko, yrittäjä",0,0,Rauno Oiva,200,275,0,SIT,275,0,25,Yhteislista sitoutumattomat,Varsinais-Suomen vaalipiiri,Rantanen,50,0
Turku,"tietokoneyliasentaja, atk-tukihenkilö",500,0,Tomi Matias Olavi,0,500,0,SIT,500,0,0,Yhteislista sitoutumattomat,Varsinais-Suomen vaalipiiri,Viitanen,0,0
Turku,"yksityisetsivä, eläinsuojeluvalvoja",0,0,Olavi Juhani,300,600,0,VP,600,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Varsinais-Suomen vaalipiiri,Mäenpää,300,0
Kokkola,vartija,500,0,Ari Juhani,50,550,0,VP,550,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Vaasan vaalipiiri,Laakso,0,0
Kaarina,"valtiotieteiden maisteri, liiketalouden tradenomi",0,0,Lisbet Anne-Marie,2361,3000,0,VP,3000,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Varsinais-Suomen vaalipiiri,Puttonen,500,139
Pori,"filosofian maisteri, kauppatieteiden maisteri",0,0,Maria Annika,630,1650,0,VIHR,1650,0,220,Vihreä liitto r.p.,Satakunnan vaalipiiri,Väkiparta,800,0
Iisalmi,"eduskunnan varapuhemies, valtiotieteiden tohtori",1500,0,Seppo Arimo,16400,34000,7500,KESK,34000,0,4000,Suomen Keskusta r.p.,Pohjois-Savon vaalipiiri,Kääriäinen,4600,0
Joensuu,"toimintaterapeutti, kuvataiteilija",0,0,Pirkko,8000,8000,0,VIHR,8000,0,0,Vihreä liitto r.p.,Pohjois-Karjalan vaalipiiri,Nuutinen,0,0
Helsinki,"tiedetoimittaja, arkkitehti",500,0,Pasi,1000,3000,0,VIHR,3000,0,0,Vihreä liitto r.p.,Uudenmaan vaalipiiri,Toiviainen,1500,0
Nivala,metsäkoneasentaja,0,0,Jari Markku Juhani,108,110,0,VP,0,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Oulun vaalipiiri,Kaarlela,1,0
Inari,"media-assistentti, yrittäjä",0,0,Eetu,50,255,0,VIHR,255,0,100,Vihreä liitto r.p.,Lapin vaalipiiri,Suominen,55,0
Kotka,erityisperhetyöntekijä,750,0,Sami,1200,4000,570,VIHR,4000,0,330,Vihreä liitto r.p.,Kymen vaalipiiri,Virtanen,1150,0
Kotka,suomen kielen lehtori,0,0,Leena,2500,7500,500,VIHR,7500,1330,720,Vihreä liitto r.p.,Kymen vaalipiiri,Griinari,2450,0
Riihimäki,koulunkäyntiohjaaja,0,0,Pepe Matinpoika,150,50,0,VP,100,0,0,Vapauspuolue (VP) - Suomen tulevaisuus r.p.,Hämeen vaalipiiri,Viljanen,0,0
Turku,"taksinkuljettaja, teol.yo.",0,0,Juho Pekka Olavi,0,500,0,KD,500,0,500,Suomen Kristillisdemokraatit (KD),Varsinais-Suomen vaalipiiri,Jääskeläinen,0,0
Kerimäki,"kansanedustaja, toimittaja",0,0,Heli Maria,19000,16132,0,VIHR,20000,0,720,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Järvinen,290,0
Savonlinna,"luontokuvaaja, dokumentaristi",0,0,Juha Tapani,890,280,0,VIHR,1200,0,0,Vihreä liitto r.p.,Etelä-Savon vaalipiiri,Taskinen,310,0
Helsinki,opiskelija,0,0,Verna,340,4510,450,VIHR,4510,0,1420,Vihreä liitto r.p.,Helsingin vaalipiiri,Castrén,2300,0
Helsinki,"oikeustieteen maisteri, lakimies",0,0,Husein,4500,9000,0,VIHR,8900,0,300,Vihreä liitto r.p.,Helsingin vaalipiiri,Muhammed,5000,0
Helsinki,"kansainvälisten asiain koordinaattori, valtiotieteiden maist",0,0,Sanna,7300,20000,1500,VIHR,20000,0,600,Vihreä liitto r.p.,Helsingin vaalipiiri,Vesikansa,10600,0
Helsinki,"diplomi-insinööri, puolueen varapuheenjohtaja",0,0,Mari,21707,27957,0,VIHR,27957,0,350,Vihreä liitto r.p.,Helsingin vaalipiiri,Puoskari,5900,0
Helsinki,"kansanedustaja, tutkija",0,34900,Outi,37151,41316,0,VIHR,41316,0,760,Vihreä liitto r.p.,Helsingin vaalipiiri,Alanko-Kahiluoto,4165,0
Helsinki,"viestintäpäällikkö, Master of Laws",0,0,Tuuli,23440,29126,0,VIHR,29126,0,486,Vihreä liitto r.p.,Helsingin vaalipiiri,Kousa,5399,0
Helsinki,"filosofian maisteri, opintojohtaja",0,0,Ville,6000,23000,0,VIHR,23000,0,500,Vihreä liitto r.p.,Helsingin vaalipiiri,Ylikahri,16500,0
Helsinki,erityisopettaja,0,0,Sirkku,330,1700,0,VIHR,1700,0,660,Vihreä liitto r.p.,Helsingin vaalipiiri,Ingervo,710,0
Helsinki,"vs. pääsihteeri, tohtorikoulutettava, tf. generalsekreterare",0,0,Anna,3700,5485,0,VIHR,5390,0,640,Vihreä liitto r.p.,Helsingin vaalipiiri,Moring,1050,0
