"","puolue_lyh","ilmoittaneita","rahoitus_tot","kulut_tot","omat_varat","lainat","yksityinen_tuki","yritys_tuki","puolue_tuki","puolueyhdistys_tuki","valitettu_tuki","muu_tuki","vaalimainonta","vaalimainonta_suunnittelu","ehdokkaita_tot","ilmoittaneita_pros","suht_rahoitus","suht_yritys_rahoitus","suht_vaalimainonta","vuosi"
"1","KD",15,122708,126649,34977,4000,9854,3789,9998,45840,570,0,87614,1448,191,0.08,8180.53,252.6,5840.93,2011
"2","KESK",135,2354637,2320610,874535,205000,415216,408146,56355,248388,14550,98442,1745519,107011,233,0.58,17441.76,3023.3,12929.77,2011
"3","KOK",22,544864,547510,262286,50000,83836,89722,1500,37290,0,6000,420406,19200,232,0.09,24766.55,4078.27,19109.36,2011
"4","M11",19,7239,7654,4743,0,2082,75,0,0,500,416,6570,65,66,0.29,381,3.95,345.79,2011
"5","PIR",81,11887,12972,9021,0,871,300,150,0,0,0,6726,0,127,0.64,146.75,3.7,83.04,2011
"6","PS",37,274486,269982,194735,2000,33066,20039,1976,22941,0,7500,234167,1050,238,0.16,7418.54,541.59,6328.84,2011
"7","RKP",7,44985,45240,3050,0,2930,6345,7000,6430,12000,7230,35543,2250,83,0.08,6426.43,906.43,5077.57,2011
"8","SDP",47,548883,579424,176802,45000,97326,31540,23490,91470,7000,131693,466745,17652,238,0.2,11678.36,671.06,9930.74,2011
"9","SKP",8,6097,6297,3097,0,0,0,0,1000,0,2200,5407,100,143,0.06,762.12,0,675.88,2011
"10","STP",1,0,0,0,0,0,0,0,0,0,0,0,0,47,0.02,0,0,0,2011
"11","VAS",142,1153812,1159238,363003,61250,168346,23260,24665,189891,79451,302869,991574,30375,236,0.6,8125.44,163.8,6982.92,2011
"12","VIHR",227,1414281,1444151,911818,111280,315172,43113,470,94756,3596,20171,1146485,48138,228,1,6230.31,189.93,5050.59,2011
"13","VP",21,8960,12220,9529,300,1051,0,289,0,0,1000,8969,0,60,0.35,426.67,0,427.1,2011
