"sukunimi";"etunimi";"puolue_lyh";"puolue"
"Nauclér";"Elisabeth";"SIT";"Ahvenanmaan maakunnan vaalipiiri"
"Huovinen";"Susanna";"SDP";"Keski-Suomen vaalipiiri"
"Tuupainen";"Kauko";"PS";"Keski-Suomen vaalipiiri"
"Virkkunen";"Henna";"KOK";"Keski-Suomen vaalipiiri"
"Pekkarinen";"Mauri";"KESK";"Keski-Suomen vaalipiiri"
"Peltonen";"Tuula";"SDP";"Keski-Suomen vaalipiiri"
"Hakkarainen";"Teuvo";"PS";"Keski-Suomen vaalipiiri"
"Tiainen";"Eila";"VAS";"Keski-Suomen vaalipiiri"
"Wallinheimo";"Sinuhe";"KOK";"Keski-Suomen vaalipiiri"
"Paloniemi";"Aila";"KESK";"Keski-Suomen vaalipiiri"
"Kiuru";"Krista";"SDP";"Satakunnan vaalipiiri"
"Jalonen";"Ari";"PS";"Satakunnan vaalipiiri"
"Kalli";"Timo";"KESK";"Satakunnan vaalipiiri"
"Kataja";"Sampsa";"KOK";"Satakunnan vaalipiiri"
"Salonen";"Kristiina";"SDP";"Satakunnan vaalipiiri"
"Joutsenlahti";"Anssi";"PS";"Satakunnan vaalipiiri"
"Myllykoski";"Jari";"VAS";"Satakunnan vaalipiiri"
"Ahvenjärvi";"Sauli";"KD";"Satakunnan vaalipiiri"
"Holmlund";"Anne";"KOK";"Satakunnan vaalipiiri"
"Myller";"Riitta";"SDP";"Pohjois-Karjalan vaalipiiri"
"Vehviläinen";"Anu";"KESK";"Pohjois-Karjalan vaalipiiri"
"Kokko";"Osmo";"PS";"Pohjois-Karjalan vaalipiiri"
"Ravi";"Pekka";"KOK";"Pohjois-Karjalan vaalipiiri"
"Mäkisalo-Ropponen";"Merja";"SDP";"Pohjois-Karjalan vaalipiiri"
"Reijonen";"Eero";"KESK";"Pohjois-Karjalan vaalipiiri"
"Orpo";"Petteri";"KOK";"Varsinais-Suomen vaalipiiri"
"Paasio";"Heli";"SDP";"Varsinais-Suomen vaalipiiri"
"Elomaa";"Kike (Ritva)";"PS";"Varsinais-Suomen vaalipiiri"
"Wallin";"Stefan";"RKP";"Varsinais-Suomen vaalipiiri"
"Virolainen";"Anne-Mari";"KOK";"Varsinais-Suomen vaalipiiri"
"Taimela";"Katja";"SDP";"Varsinais-Suomen vaalipiiri"
"Lapintie";"Annika";"VAS";"Varsinais-Suomen vaalipiiri"
"Heikkilä";"Lauri";"PS";"Varsinais-Suomen vaalipiiri"
"Kiviranta";"Esko";"KESK";"Varsinais-Suomen vaalipiiri"
"Kanerva";"Ilkka";"KOK";"Varsinais-Suomen vaalipiiri"
"Niinistö";"Ville";"VIHR";"Varsinais-Suomen vaalipiiri"
"Kantola";"Ilkka";"SDP";"Varsinais-Suomen vaalipiiri"
"Lohela";"Maria";"PS";"Varsinais-Suomen vaalipiiri"
"Hemmilä";"Pertti";"KOK";"Varsinais-Suomen vaalipiiri"
"Saarikko";"Annika";"KESK";"Varsinais-Suomen vaalipiiri"
"Eloranta";"Eeva-Johanna";"SDP";"Varsinais-Suomen vaalipiiri"
"Yrttiaho";"Jyrki";"VAS";"Varsinais-Suomen vaalipiiri"
"Zyskowicz";"Ben";"KOK";"Helsingin vaalipiiri"
"Tuomioja";"Erkki";"SDP";"Helsingin vaalipiiri"
